INFO:root:Network range to defend: 192.168.0.0/24
INFO:root:Sending ARPs to network range 192.168.0.0/24
INFO:root:Gateway IP: 192.168.0.1
INFO:root:Interface: enp5s0
INFO:root:Network range to defend: 192.168.0.0/24
INFO:root:Sending ARPs to network range 192.168.0.0/24
INFO:root:[*] Probe- 192.168.0.1 is asking about 192.168.0.2
INFO:root:[*] Response- d8:cb:8a:75:78:8c L3 address is 192.168.0.2
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.0
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.1
INFO:root:[*] Response- 90:9d:7d:8a:db:fc L3 address is 192.168.0.1
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.2
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.3
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.4
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.5
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.6
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.7
INFO:root:[*] Response- 20:89:84:ef:cc:d3 L3 address is 192.168.0.7
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.8
INFO:root:[*] Response- 20:89:84:ef:cc:d3 L3 address is 192.168.0.8
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.9
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.10
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.11
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.12
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.13
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.14
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.15
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.16
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.17
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.18
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.19
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.20
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.21
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.22
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.23
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.24
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.25
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.26
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.27
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.28
